# OSU MPI Latency Test v7.1
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.84
2                       2.84
4                       2.84
8                       2.84
16                      2.84
32                      2.88
64                      2.95
128                     2.99
256                     3.26
512                     3.30
1024                    3.46
2048                    4.02
4096                    4.32
8192                    5.02
16384                   6.34
32768                   7.56
65536                  13.80
131072                 16.62
262144                 22.43
524288                 34.06
1048576                57.33
2097152               103.51
4194304               196.13
