# OSU MPI Latency Test v7.1
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.79
2                       2.78
4                       2.78
8                       2.78
16                      2.78
32                      2.82
64                      2.89
128                     2.94
256                     3.24
512                     3.27
1024                    3.44
2048                    3.96
4096                    4.54
8192                    5.61
16384                   6.98
32768                   8.65
65536                  10.95
131072                 16.77
262144                 22.17
524288                 33.72
1048576                56.99
2097152               103.67
4194304               195.78
